Designator,Mid X,Mid Y,Rotation,Layer
D73,21.0,-5.8,270.0,bottom
D74,26.0,-2.3,270.0,bottom
D75,28.0,-2.3,270.0,bottom
D76,-27.95,-57.65,180.0,top
D77,29.2,-3.9,0.0,top
D78,-13.95,-57.65,180.0,top
D79,14.6,-3.9,0.0,top
D8,-1.0,-5.8,270.0,bottom
D80,14.05,-57.65,180.0,top
D81,-14.6,-3.9,0.0,top
D82,28.05,-57.65,180.0,top
D83,-29.2,-3.9,0.0,top
D84,-36.25,30.5,270.0,bottom
D85,-46.0,61.0,0.0,bottom
D86,46.4775,32.24,180.0,bottom
D87,46.3,57.0775,270.0,bottom
D9,10.0,-2.3,270.0,bottom
H1,-50.35,57.85,0.0,top
H2,50.35,57.85,90.0,top
H3,-44.35,-60.85,0.0,top
H4,44.35,-60.85,0.0,top
J1,-51.375,48.2,90.0,bottom
J10,-47.77,12.62,90.0,bottom
J11,-46.75,-13.325,0.0,bottom
J12,-47.0,-17.0,90.0,top
J13,-48.514,-32.5,270.0,bottom
J14,-47.0,-21.17,90.0,top
J15,-47.0,-29.51,90.0,top
J16,-47.0,-25.34,90.0,top
J2,-47.75,31.55,90.0,bottom
J3,-38.75,60.32,180.0,bottom
J4,49.1675,6.05,270.0,bottom
J5,39.1668,-7.4168,0.0,bottom
J6,34.95,23.05,0.0,bottom
J8,54.5,16.0,270.0,bottom
J9,3.81,6.2,180.0,bottom
L1,-9.75,15.0,90.0,bottom
L2,-32.925,28.775,270.0,bottom
L3,-21.25,48.75,180.0,bottom
L4,46.45,28.88,180.0,bottom
L5,44.85,53.11,180.0,bottom
N6,0.0,0.0,0.0,top
N7,0.0,-14.0,0.0,bottom
Q1,32.9,-1.6625,270.0,bottom
Q2,-22.862499,30.8,180.0,bottom
Q3,25.46,13.8425,90.0,bottom
Q4,47.2,13.3275,270.0,bottom
R1,-40.49,55.12,180.0,bottom
R10,-7.62,33.4,0.0,bottom
R11,-12.0,15.75,0.0,bottom
R12,-7.859999,19.975,0.0,bottom
R13,-13.75,18.25,90.0,bottom
R14,-38.78,27.54,180.0,bottom
R15,-38.78,26.44,180.0,bottom
R16,-38.15,35.48,0.0,bottom
R17,-38.15,34.48,0.0,bottom
R18,-38.78,28.64,180.0,bottom
R19,-38.82,32.04,270.0,bottom
R2,-36.44,55.05,0.0,bottom
R20,-6.07,11.78,90.0,bottom
R21,46.9392,37.2364,90.0,bottom
R22,-1.75,12.2,90.0,bottom
R23,9.901104,27.25,180.0,bottom
R24,9.375,21.575,180.0,bottom
R25,-20.45,9.980001,270.0,bottom
R26,-20.44,7.620001,90.0,bottom
R27,-31.525,1.925,90.0,bottom
R28,-32.475,1.925,90.0,bottom
R29,-38.69,24.22,0.0,bottom
R3,-11.75,27.37,270.0,bottom
R30,-29.35,16.35,270.0,bottom
R31,-37.99,0.2,0.0,bottom
R32,-40.0,0.2,0.0,bottom
R33,-34.0,0.2,0.0,bottom
R34,-36.0,0.2,0.0,bottom
R35,-25.99,0.2,0.0,bottom
R36,-27.99,0.2,0.0,bottom
R37,-22.0,0.2,0.0,bottom
R38,-24.0,0.2,0.0,bottom
R39,35.25,-2.65,270.0,bottom
R4,-43.9,19.1,270.0,bottom
R40,35.68,-1.21,0.0,bottom
R41,-28.5496,38.1,90.0,bottom
R42,-24.325,33.659999,90.0,bottom
R43,-25.174999,43.297499,270.0,bottom
R44,-25.384999,37.625,0.0,bottom
R45,-25.16,41.06,270.0,bottom
R46,-18.515001,31.755,0.0,bottom
R47,-25.375,38.7,180.0,bottom
R48,-18.515001,30.735,180.0,bottom
R49,45.140001,46.775,0.0,bottom
R5,0.8,34.14,90.0,bottom
R50,44.984999,21.56,90.0,bottom
R51,49.674999,23.84,90.0,bottom
R52,47.98,48.551249,90.0,bottom
R53,-36.7538,43.7896,0.0,bottom
R54,-41.0,41.39,0.0,bottom
R55,13.09,43.28,0.0,bottom
R56,-9.74,39.47,180.0,bottom
R57,-9.74,40.74,180.0,bottom
R58,-9.74,42.0,180.0,bottom
R59,-9.74,43.26,180.0,bottom
R6,-0.2,34.12,90.0,bottom
R60,-9.74,44.55,180.0,bottom
R61,-9.74,45.5168,180.0,bottom
R62,15.0876,43.2816,180.0,bottom
R63,13.1,37.25,180.0,bottom
R64,13.1,38.2,0.0,bottom
R65,13.1,39.45,0.0,bottom
R66,12.57,52.2,180.0,bottom
R67,13.1,42.02,180.0,bottom
R68,-9.72,38.25,0.0,bottom
R69,37.1856,41.1226,0.0,bottom
R7,12.5496,46.95,180.0,bottom
R70,-9.6774,47.6504,0.0,bottom
R71,50.62,12.6,90.0,bottom
R72,28.35,13.9,180.0,bottom
R73,35.2,13.264294,270.0,bottom
R74,34.224293,13.264294,90.0,bottom
R75,33.25,13.264294,270.0,bottom
R76,41.88,3.27,270.0,bottom
R77,28.09,10.750001,90.0,bottom
R78,41.89,1.34,90.0,bottom
R79,49.57,12.6,270.0,bottom
R8,12.5696,48.6,180.0,bottom
R80,49.58,14.525,90.0,bottom
R81,36.2,56.95,270.0,bottom
R82,37.55,56.95,90.0,bottom
R83,-14.0208,45.8216,180.0,bottom
R9,-0.2,12.2,270.0,bottom
SW1,52.65,27.1,270.0,bottom
SW2,52.65,37.1,270.0,bottom
SW3,52.65,47.1,270.0,bottom
U1,-44.137999,45.9105,270.0,bottom
U10,11.14,32.19,90.0,bottom
U11,-30.0,9.2,270.0,bottom
U12,-27.4,17.55,180.0,bottom
U13,0.0,-30.8,0.0,top
U14,-21.2575,15.940000000000001,270.0,bottom
U15,-27.92,32.7825,270.0,bottom
U16,-22.125,42.975,90.0,bottom
U17,46.649999,24.7,180.0,bottom
U18,44.74,48.98,180.0,bottom
U19,-37.8968,39.4208,90.0,bottom
U2,-33.909,54.102,270.0,bottom
U20,1.25,46.45,0.0,bottom
U21,26.035,44.564,180.0,bottom
U22,36.5252,43.0784,270.0,bottom
U24,38.63,7.86,270.0,bottom
U25,31.47,7.88,180.0,bottom
U26,-42.4282,43.3728,180.0,bottom
U27,-54.5,47.0,180.0,top
U28,-54.5,13.25,180.0,top
U29,-54.5,6.25,180.0,top
U3,-22.8925,56.1425,270.0,bottom
U30,54.5,47.0,180.0,top
U31,54.5,13.25,180.0,top
U32,54.5,6.25,180.0,top
U33,-13.2588,39.2176,0.0,bottom
U4,49.8466,17.2933,270.0,bottom
U5,-43.5,14.0,270.0,bottom
U6,-43.5,8.0,270.0,bottom
U7,-10.986351,18.019347,180.0,bottom
U8,0.0,25.0,270.0,bottom
U9,11.3516,13.8016,270.0,bottom
Y1,-23.6725,60.8925,180.0,bottom
Y2,-8.725,28.107,270.0,bottom
Y3,-23.39,11.78,270.0,bottom
